0.2,0.1,0.2064
0.2,0.2,0.2280
0.2,0.3,0.2297
0.2,0.4,0.2277
0.2,0.5,0.2277
0.2,0.6,0.2286
0.2,0.7,0.2248
0.2,0.8,0.2234
0.2,0.9,0.2212
0.4,0.1,0.2218
0.4,0.2,0.2020
0.4,0.3,0.2267
0.4,0.4,0.2296
0.4,0.5,0.2311
0.4,0.6,0.2304
0.4,0.7,0.2270
0.4,0.8,0.2233
0.4,0.9,0.2203
0.6,0.1,0.2249
0.6,0.2,0.2300
0.6,0.3,0.2160
0.6,0.4,0.2296
0.6,0.5,0.2301
0.6,0.6,0.2289
0.6,0.7,0.2269
0.6,0.8,0.2233
0.6,0.9,0.2201
0.8,0.1,0.2201
0.8,0.2,0.2229
0.8,0.3,0.2296
0.8,0.4,0.2306
0.8,0.5,0.2309
0.8,0.6,0.2255
0.8,0.7,0.2223
0.8,0.8,0.2190
0.8,0.9,0.2254
1.0,0.1,0.2234
1.0,0.2,0.2212
1.0,0.3,0.2176
1.0,0.4,0.2222
1.0,0.5,0.2239
1.0,0.6,0.2232
1.0,0.7,0.2230
1.0,0.8,0.2148
1.0,0.9,0.2151
1.2,0.1,0.2178
1.2,0.2,0.2254
1.2,0.3,0.2240
1.2,0.4,0.2227
1.2,0.5,0.2233
1.2,0.6,0.2224
1.2,0.7,0.2171
1.2,0.8,0.2212
1.2,0.9,0.2214
1.4,0.1,0.2244
1.4,0.2,0.2231
1.4,0.3,0.2207
1.4,0.4,0.2281
1.4,0.5,0.2215
1.4,0.6,0.2181
1.4,0.7,0.2124
1.4,0.8,0.2208
1.4,0.9,0.2238
1.6,0.1,0.2236
1.6,0.2,0.2273
1.6,0.3,0.2221
1.6,0.4,0.2191
1.6,0.5,0.2192
1.6,0.6,0.2177
1.6,0.7,0.2186
1.6,0.8,0.2261
1.6,0.9,0.2109
1.8,0.1,0.2105
1.8,0.2,0.2129
1.8,0.3,0.2115
1.8,0.4,0.2161
1.8,0.5,0.2149
1.8,0.6,0.2151
1.8,0.7,0.2114
1.8,0.8,0.2158
1.8,0.9,0.2120
2.0,0.1,0.2195
2.0,0.2,0.2212
2.0,0.3,0.2129
2.0,0.4,0.2154
2.0,0.5,0.2172
2.0,0.6,0.2134
2.0,0.7,0.2105
2.0,0.8,0.2127
2.0,0.9,0.2027
